full_name,id,distinct_releases,releases_mean_time,releases_median_time,first_release_date,last_release_date,total_time_days
OpenEmu/OpenEmu,1185279,10,132,96,2013-12-23,2017-3-22,1189
ensime/ensime-server,578384,5,25,34,2017-6-13,2017-9-24,101
jsonmodel/jsonmodel,6969835,3,36,50,2016-7-22,2016-10-5,73
telegramdesktop/tdesktop,19374812,59,12,8,2015-9-13,2017-9-6,723
yandex/gixy,85012942,6,32,7,2017-4-28,2017-10-10,162
electronicarts/EASTL,48068902,11,50,53,2016-5-25,2017-10-16,506
Microsoft/UWPCommunityToolkit,61403402,8,54,48,2016-8-16,2017-8-29,378
jekyll/jekyll,65252,54,29,24,2013-6-14,2017-10-21,1587
RainLoop/rainloop-webmail,13073056,22,23,8,2016-5-22,2017-9-25,488
Modernizr/Modernizr,317757,6,230,55,2014-2-24,2017-4-20,1151
videojs/video.js,667006,82,19,11,2013-7-16,2017-10-10,1544
daimajia/AndroidViewAnimations,21113349,7,162,21,2014-6-23,2017-2-21,973
JadenGeller/Helium,33659097,4,67,5,2015-4-10,2015-10-31,201
dingo/api,18673522,19,68,18,2014-4-30,2017-9-20,1235
Leaflet/Leaflet,931135,11,74,67,2015-10-14,2017-10-25,741
uxsolutions/bootstrap-datepicker,3744545,15,66,64,2014-12-17,2017-7-6,934
ResearchKit/ResearchKit,31979038,3,131,256,2016-10-26,2017-7-13,262
hankcs/HanLP,24976755,23,44,38,2015-2-12,2017-10-22,980
andreamazz/AMPopTip,21659615,22,54,37,2014-8-23,2017-10-19,1151
thephpleague/fractal,14732235,14,99,101,2014-1-24,2017-8-18,1299
orhanobut/logger,32610336,10,89,11,2015-3-21,2017-6-6,805
gevent/gevent,5801666,21,72,28,2013-9-14,2017-9-7,1453
facebookincubator/create-react-app,63537249,25,17,15,2016-7-22,2017-9-27,430
soffes/SAMKeychain,599070,6,100,112,2015-5-11,2016-9-27,501
lord/slate,12820537,9,138,143,2014-7-8,2017-7-17,1104
fabiolb/fabio,44397318,28,22,18,2015-11-30,2017-7-24,604
snowie2000/mactype,33294473,4,101,13,2016-8-30,2017-6-28,303
YoKeyword/Fragmentation,52344952,13,9,6,2017-7-1,2017-10-24,113
vuejs/vue,11730342,113,12,8,2013-12-7,2017-10-13,1406
Moya/Moya,23013268,33,22,20,2015-10-23,2017-10-21,728
bizz84/SwiftyStoreKit,41854508,25,15,13,2016-10-19,2017-10-16,362
gperftools/gperftools,16309670,8,99,14,2015-8-15,2017-7-9,694
ClusterM/hakchi2,78289422,12,24,18,2017-1-11,2017-10-10,269
mopidy/mopidy,447036,3,48,74,2014-5-7,2014-8-13,96
banchichen/TZImagePickerController,49194672,5,11,12,2017-7-15,2017-8-30,45
facebook/hhvm,455600,1,None,None,2016-9-28,2016-9-28,0
laravel/framework,7548986,26,8,7,2017-3-24,2017-10-25,211
mobileplayer/mobileplayer-ios,34410518,9,46,45,2015-10-2,2016-10-12,375
walkor/Workerman,15020102,33,29,23,2015-1-31,2017-8-23,932
CMB2/CMB2,23156260,15,66,56,2015-2-2,2017-8-22,930
robb/Cartography,20940824,13,84,12,2015-1-3,2017-10-18,1015
dotnet/cli,43568107,15,36,41,2016-5-16,2017-10-12,511
360Controller/360Controller,13163423,17,81,44,2013-9-30,2017-4-18,1298
binux/pyspider,17066884,12,100,64,2014-3-9,2017-3-18,1104
minetest/minetest,2168780,9,161,182,2013-11-24,2017-6-3,1289
numenta/nupic,9252533,33,30,20,2015-1-13,2017-9-13,970
go-gitea/gitea,72495579,14,26,18,2016-11-17,2017-10-26,344
eclipse/che,32935745,10,55,25,2016-3-2,2017-7-19,502
storybooks/storybook,54173593,19,28,7,2016-5-25,2017-10-20,510
Yalantis/Koloda,38444110,6,108,102,2016-4-4,2017-10-3,544
PrestaShop/PrestaShop,6763587,43,34,24,2013-10-18,2017-10-24,1466
saltstack/salt,1390248,40,33,25,2014-3-19,2017-10-9,1295
restic/restic,19205896,14,56,32,2015-9-14,2017-9-20,736
CVCalendar/CVCalendar,28043506,18,58,55,2015-1-3,2017-9-29,996
activemerchant/active_merchant,18294,16,76,28,2014-8-29,2017-10-24,1150
FormidableLabs/webpack-dashboard,65678789,4,140,160,2016-8-18,2017-10-13,420
Glimpse/Glimpse,1297957,14,36,33,2013-7-5,2014-10-29,479
shazow/ssh-chat,27796175,6,59,9,2016-7-17,2017-5-11,299
s3fs-fuse/s3fs-fuse,14627445,8,180,146,2013-11-29,2017-5-13,1264
scalikejdbc/scalikejdbc,2801094,26,48,35,2014-6-4,2017-9-19,1200
callemall/material-ui,23083156,96,11,10,2014-11-5,2017-10-23,1083
jiahaog/nativefier,38558578,11,56,22,2016-1-18,2017-8-10,567
jonas/tig,140656,5,130,143,2016-4-23,2017-9-29,521
sparkle-project/Sparkle,274782,21,57,42,2014-6-28,2017-8-14,1141
Hearst-DD/ObjectMapper,25310522,38,26,17,2015-1-23,2017-9-19,966
nicolargo/glances,2909429,13,63,53,2015-7-21,2017-8-27,766
ServiceStack/ServiceStack.Redis,1340226,37,40,33,2013-9-12,2017-9-6,1454
malcommac/SwiftDate,35143711,18,51,23,2015-6-6,2017-10-26,870
BootstrapCMS/CMS,11535888,10,46,33,2014-1-23,2015-3-15,417
bbatsov/rubocop,4095287,47,28,23,2014-3-13,2017-10-18,1310
HanSon/vbot,75820892,24,8,5,2017-1-18,2017-7-23,185
nvbn/thefuck,33614304,7,31,30,2017-4-10,2017-10-16,186
tmux/tmux,36836475,7,135,168,2015-6-4,2017-8-29,815
Cocoanetics/DTCoreText,1238201,13,118,135,2013-10-4,2017-8-28,1424
HandBrake/HandBrake,41215835,10,65,35,2015-10-4,2017-5-14,590
uber-go/zap,52034309,13,18,16,2017-2-14,2017-9-25,221
clojure/clojurescript,2080922,40,24,16,2015-3-7,2017-10-3,936
impress/impress.js,3065454,2,49,49,2016-5-14,2016-7-3,49
uNetworking/uWebSockets,54360307,25,20,10,2016-4-6,2017-8-10,489
reactjs/redux,36535156,25,32,12,2015-6-2,2017-7-13,771
Flipboard/FLAnimatedImage,19951534,5,166,70,2015-12-1,2017-9-25,664
Radarr/Radarr,77323220,21,14,8,2016-12-28,2017-10-9,286
syncthing/syncthing,14712850,55,9,11,2016-5-14,2017-10-28,529
amazeui/amazeui,22607013,23,31,23,2014-9-27,2016-8-17,690
Blankj/AndroidUtilCode,64558143,24,18,15,2016-8-16,2017-10-25,434
notepad-plus-plus/notepad-plus-plus,33014811,28,29,24,2015-6-12,2017-8-30,808
SwiftKickMobile/SwiftMessages,65219683,16,24,17,2016-9-20,2017-9-21,366
godotengine/godot,15634981,10,109,80,2014-12-17,2017-8-27,985
owner888/phpspider,40277672,5,17,32,2017-8-5,2017-10-16,71
openzipkin/zipkin,4576305,29,53,17,2013-8-27,2017-10-11,1504
telly/TLYShyNavBar,20849184,4,70,24,2015-10-21,2016-5-16,210
hyperoslo/Whisper,43437554,10,74,63,2015-12-16,2017-10-18,672
rancher/os,28796010,78,12,8,2015-2-9,2017-9-4,935
OpenRCT2/OpenRCT2,18348651,10,108,93,2014-12-7,2017-8-9,977
nunit/nunit,13692183,25,46,45,2014-8-8,2017-8-28,1115
vmg/redcarpet,1523106,11,126,120,2013-7-9,2016-12-25,1261
PHPMailer/PHPMailer,2253830,18,71,32,2014-5-14,2017-9-14,1215
ricochet-im/ricochet,762837,9,119,148,2014-3-23,2016-11-7,954
ctran/annotate_models,1462,10,132,71,2014-2-26,2017-6-2,1191
chriskacerguis/codeigniter-restserver,230589,8,190,216,2014-1-23,2017-9-23,1335
google/guice,20275545,4,236,219,2014-7-8,2016-6-17,709
woocommerce/woocommerce,2179920,78,14,9,2014-9-10,2017-10-11,1126
thumbor/thumbor,1488139,57,24,13,2013-7-6,2017-4-10,1374
