full_name,id,distinct_releases,releases_mean_time,releases_median_time,first_release_date,last_release_date,total_time_days
trello/RxLifecycle,39385621,14,59,44,2015-7-23,2017-9-7,774
sequelize/sequelize,790359,60,20,7,2014-7-8,2017-10-27,1204
mpv-player/mpv,6201092,64,23,16,2013-8-7,2017-9-13,1496
darknessomi/musicbox,22628919,7,39,21,2016-10-13,2017-6-3,235
baidu/bfs,26562172,13,32,21,2016-2-5,2017-3-3,393
gsdios/SDAutoLayout,44443578,14,46,24,2015-11-17,2017-7-17,610
foundweekends/giter8,827985,5,99,91,2016-8-23,2017-9-24,396
pinterest/PINRemoteImage,39537103,25,33,24,2015-7-23,2017-10-9,806
Caliburn-Micro/Caliburn.Micro,16412440,14,100,94,2014-2-19,2017-9-17,1303
paulcbetts/refit,11591313,11,147,78,2013-7-30,2017-8-15,1475
libgit2/rugged,901663,6,95,67,2014-11-17,2016-3-4,477
kataras/iris,50709152,13,30,14,2016-10-31,2017-10-26,360
VincentGarreau/particles.js,23736449,4,60,4,2014-11-12,2015-5-9,182
monicahq/monica,82238168,10,12,6,2017-6-27,2017-10-22,115
jedisct1/dnscrypt-proxy,4776767,15,70,37,2014-8-19,2017-5-6,992
aspnet/KestrelHttpServer,20344662,22,52,42,2014-8-17,2017-8-14,1092
spotify/luigi,5888353,22,58,40,2014-5-17,2017-10-5,1233
w0rp/ale,67747748,12,33,25,2016-10-19,2017-10-23,369
lhc70000/iina,76838017,14,22,9,2017-1-3,2017-10-24,291
mozilla/pdf.js,1663468,24,56,50,2014-4-10,2017-10-27,1292
tidyverse/tidyr,20688261,13,98,106,2014-7-22,2017-10-17,1180
nsqio/nsq,4307108,18,80,69,2013-7-2,2017-3-22,1360
Qihoo360/Atlas,15279980,7,86,73,2013-12-18,2015-5-19,521
buaazp/zimg,11102909,6,27,11,2014-4-19,2014-9-8,139
bigdatagenomics/adam,14541530,23,52,34,2014-2-12,2017-4-11,1154
Wox-launcher/Wox,15315789,19,62,43,2014-3-15,2017-4-6,1116
overtrue/pinyin,21882528,27,41,31,2014-7-16,2017-7-10,1089
etsy/AndroidStaggeredGrid,15057216,7,106,45,2013-12-27,2015-9-23,636
yabwe/medium-editor,10365411,96,14,7,2013-10-6,2017-8-2,1396
rubinius/rubinius,27,88,16,7,2013-11-16,2017-9-27,1411
naver/pinpoint,25459400,14,63,50,2015-3-3,2017-6-2,819
kint-php/kint,4351207,17,92,21,2013-8-12,2017-9-6,1484
mobile-shell/mosh,1234783,9,187,79,2013-6-10,2017-7-20,1500
YOURLS/YOURLS,5508585,4,466,516,2013-7-2,2017-5-1,1399
googlei18n/libphonenumber,27500243,29,25,14,2015-11-12,2017-10-17,705
sampotts/plyr,30794868,30,30,14,2015-5-17,2017-10-15,878
grpc-ecosystem/grpc-gateway,33352201,5,70,16,2016-7-11,2017-4-17,281
xunit/xunit,9891249,9,63,35,2014-5-1,2015-9-27,511
ketoo/NoahGameFrame,19843809,12,46,28,2016-5-17,2017-10-12,510
akkadotnet/akka.net,15509440,20,51,50,2015-2-12,2017-10-21,979
gradle/gradle,302322,40,12,7,2016-6-9,2017-10-24,500
IBM-Swift/Kitura,51308720,23,27,19,2016-2-22,2017-10-27,610
mattdonnelly/Swifter,20619775,18,70,25,2014-6-14,2017-10-1,1202
go-lang-plugin-org/go-lang-idea-plugin,869754,21,24,21,2014-12-5,2016-4-12,497
istio/istio,74175805,11,16,14,2017-5-10,2017-10-25,165
akka/akka-http,66077955,9,35,38,2016-11-22,2017-8-31,284
phpro/grumphp,32482750,35,26,23,2015-3-19,2017-9-1,892
gin-gonic/gin,20904437,4,256,214,2015-5-22,2017-7-2,770
littlecodersh/ItChat,49935814,13,19,9,2016-11-25,2017-7-16,236
flarum/core,28257573,7,115,149,2015-8-27,2017-7-22,695
Azure/DotNetty,35290377,7,37,18,2016-4-12,2016-11-25,223
accord-net/framework,3964514,13,125,105,2013-9-7,2017-10-19,1502
assimp/assimp,648332,8,168,32,2014-5-4,2017-7-28,1179
nate-parrott/Flashlight,26103342,25,7,6,2014-11-4,2015-5-4,185
twitter/finatra,3465312,33,48,41,2013-7-21,2017-10-27,1556
SignalR/SignalR,2087064,16,93,39,2013-7-2,2017-5-4,1402
XX-net/XX-Net,29290473,92,11,5,2015-1-16,2017-10-26,1010
uglide/RedisDesktopManager,11892946,33,45,12,2013-9-26,2017-9-22,1456
sqlitebrowser/sqlitebrowser,19416551,18,72,40,2014-5-7,2017-9-20,1228
TechEmpower/FrameworkBenchmarks,8957264,6,258,226,2013-10-31,2017-5-11,1290
macvim-dev/macvim,5641441,56,27,13,2013-9-6,2017-10-20,1504
mautic/mautic,12204147,44,23,20,2015-2-6,2017-10-26,990
scalatest/scalatest,9283927,8,139,143,2015-1-29,2017-10-6,977
baldurk/renderdoc,17253131,17,67,75,2014-8-25,2017-8-14,1084
DianQK/TransitionTreasury,48093563,12,23,7,2015-12-30,2016-9-15,260
facebook/react,10270250,33,48,41,2013-7-2,2017-9-26,1544
techtalk/SpecFlow,346594,5,81,74,2016-10-21,2017-9-12,326
mamaral/Onboard,23092866,13,61,49,2014-9-13,2016-9-24,741
Bilibili/flv.js,58623321,7,50,55,2016-11-1,2017-9-1,305
amlcurran/ShowcaseView,5417266,10,105,61,2013-9-2,2016-4-4,947
Homebrew/brew,53238813,33,12,12,2016-9-21,2017-10-18,392
yihui/knitr,2594513,16,78,82,2014-5-25,2017-8-10,1170
MacDownApp/macdown,21089071,24,45,31,2014-6-22,2017-5-12,1055
micro/micro,29371034,7,19,18,2017-6-12,2017-10-6,114
bobthecow/mustache.php,569670,10,158,134,2013-8-13,2017-7-11,1428
xtaci/kcptun,52595226,37,13,7,2016-6-7,2017-10-21,499
twitter/util,1527969,16,39,41,2016-3-8,2017-10-27,594
bitcoin/bitcoin,1181927,7,53,65,2016-11-1,2017-9-19,323
mozilla-mobile/firefox-ios,26133979,6,189,57,2015-2-18,2017-9-26,948
mybatis/mybatis-3,8205602,13,115,94,2013-11-8,2017-8-20,1382
zeromq/netmq,6521142,5,140,191,2016-2-20,2017-9-6,561
ant0ine/go-json-rest,8282363,15,71,56,2014-2-27,2016-12-4,1007
PowerShell/PowerShell,49609581,27,23,22,2016-2-24,2017-10-25,606
sebastianbergmann/phpunit,448045,10,26,24,2013-7-4,2014-2-25,236
jp9000/OBS,5793110,36,32,19,2013-8-2,2016-8-31,1124
Maximus5/ConEmu,2857373,131,11,6,2013-11-10,2017-10-26,1446
npm/npm,321278,146,9,7,2013-12-16,2017-10-4,1388
labstack/echo,31504491,32,28,9,2015-4-1,2017-8-23,872
catfan/Medoo,9114826,16,76,67,2014-5-7,2017-6-24,1142
phan/phan,44751102,15,49,43,2015-12-3,2017-10-21,688
alcatraz/Alcatraz,9603714,24,40,28,2014-3-3,2016-10-3,940
shadowsocks/shadowsocks-windows,7600409,25,33,16,2015-6-28,2017-9-9,801
rocketeers/rocketeer,10866815,26,50,22,2013-7-3,2016-12-31,1273
gabime/spdlog,26038648,6,76,40,2016-7-31,2017-8-19,383
tristanhimmelman/AlamofireObjectMapper,34856963,23,40,37,2015-4-30,2017-10-1,881
select2/select2,3620194,15,72,34,2015-1-9,2017-10-25,1016
google/agera,48175620,12,33,31,2016-4-24,2017-4-24,365
dropwizard/metrics,537800,8,157,32,2014-9-8,2017-9-15,1102
zurb/foundation-sites,2573058,46,30,19,2013-11-22,2017-8-18,1366
aws/aws-sdk-php,6269013,216,6,6,2013-11-14,2017-10-26,1442
SwipeCellKit/SwipeCellKit,80831537,11,24,14,2017-2-5,2017-10-6,241
chrislusf/seaweedfs,21827146,6,153,69,2015-4-21,2017-5-28,767
bridgedotnet/Bridge,15860426,43,22,14,2015-3-24,2017-10-18,934
scala-native/scala-native,27235687,5,32,39,2017-4-26,2017-9-7,131
WebDevStudios/Custom-Metaboxes-and-Fields-for-WordPress,1394574,6,31,29,2013-12-3,2014-5-3,155
nodemcu/nodemcu-firmware,26917568,16,59,59,2015-3-5,2017-8-24,899
Masterminds/glide,21641241,29,39,14,2014-9-19,2017-9-28,1104
snowplow/snowplow,3591964,54,29,27,2013-7-7,2017-10-10,1553
facebook/react-native,29028775,64,14,12,2015-3-27,2017-10-11,924
pagekit/pagekit,17486281,23,32,28,2015-9-10,2017-8-31,721
deis/deis,11589713,59,21,16,2013-7-30,2017-1-19,1269
ReactTraining/react-router,19872456,24,29,19,2015-11-10,2017-9-26,686
carambalabs/SugarRecord,22596493,29,34,10,2014-9-30,2017-5-8,953
Alamofire/Alamofire,22458259,35,24,16,2015-5-11,2017-9-6,845
joomla/joomla-cms,2464908,77,20,8,2013-7-18,2017-10-4,1536
gogits/gogs,16752620,46,27,14,2014-3-31,2017-8-15,1229
ramsey/uuid,4916869,22,54,35,2014-7-28,2017-9-22,1149
geocoder-php/Geocoder,2729639,23,67,31,2013-7-9,2017-8-1,1482
ReSwift/ReSwift,48027844,10,55,30,2015-12-15,2017-4-20,495
docker/machine,27494663,55,19,11,2014-12-4,2017-10-18,1049
Workiva/go-datastructures,25923208,30,26,21,2015-9-24,2017-10-26,762
MediaBrowser/Emby,8231466,106,10,7,2014-10-2,2017-10-27,1120
slackhq/SlackTextViewController,23082332,22,35,30,2014-9-26,2016-10-3,737
codemirror/CodeMirror,1254497,29,28,30,2015-8-6,2017-10-20,804
timber/timber,7413451,84,18,14,2013-7-3,2017-10-10,1557
doctrine/doctrine2,597887,20,79,35,2013-9-7,2017-10-23,1506
coteditor/CotEditor,9243402,68,19,13,2014-2-27,2017-10-22,1330
quantopian/zipline,6297520,7,101,115,2015-11-6,2017-7-5,609
sass/node-sass,4128353,57,25,16,2013-7-8,2017-5-16,1408
PureLayout/PureLayout,21109196,11,71,58,2014-6-23,2016-6-11,718
presidentbeef/brakeman,865250,30,45,44,2014-2-10,2017-9-25,1320
influxdata/telegraf,33258973,12,13,14,2017-5-31,2017-10-25,144
phalcon/cphalcon,2854337,32,41,27,2014-3-29,2017-10-21,1297
JohnCoates/Aerial,44998092,4,142,6,2015-10-26,2016-12-28,427
dbpedia/extraction-framework,8071225,5,243,373,2013-11-27,2016-7-25,973
mongodb/mongoid,309009,17,37,39,2015-12-22,2017-8-15,603
jgm/pandoc,571770,31,41,29,2013-9-15,2017-2-3,1238
prometheus/prometheus,6838921,60,16,9,2015-2-23,2017-10-24,971
loveshell/ngx_lua_waf,8968583,6,128,21,2014-4-10,2016-1-10,640
swaywm/sway,40217904,14,37,25,2016-3-24,2017-7-26,487
florent37/MaterialViewPager,34533286,8,55,24,2015-5-1,2016-5-27,391
HearthSim/Hearthstone-Deck-Tracker,20304390,96,12,8,2014-5-30,2017-10-17,1232
barryvdh/laravel-ide-helper,8678290,6,45,30,2016-12-9,2017-7-22,228
deployphp/deployer,11340559,39,29,11,2014-8-18,2017-9-4,1111
laravel/homestead,18863040,18,17,16,2016-12-16,2017-10-16,305
go-xorm/xorm,9950667,8,141,158,2014-1-2,2016-9-21,989
reactiveui/ReactiveUI,715082,36,44,25,2013-2-27,2017-5-23,1546
Lone-Coder/letsencrypt-win-simple,46080325,17,43,12,2015-11-13,2017-10-7,694
lkzhao/Hero,74697963,19,17,6,2016-12-18,2017-10-25,312
nrk/predis,364315,7,175,179,2013-7-27,2016-6-17,1055
swagger-api/swagger-core,2003641,27,60,60,2013-7-3,2017-10-17,1564
SnapKit/SnapKit,20541795,4,120,129,2016-9-20,2017-9-17,362
mail-in-a-box/mailinabox,12271469,6,182,29,2015-4-1,2017-10-3,912
xetorthio/jedis,715605,15,78,67,2013-9-3,2016-9-10,1102
FriendsOfPHP/PHP-CS-Fixer,4344257,35,25,19,2015-5-29,2017-10-2,853
phpDocumentor/phpDocumentor2,761653,17,65,46,2013-7-12,2016-5-22,1045
localForage/localForage,14003349,14,101,27,2014-3-20,2017-10-28,1313
zeit/next.js,70107786,29,12,10,2016-11-4,2017-10-28,359
facebook/rocksdb,6934395,48,26,20,2014-5-19,2017-9-28,1224
vnpy/vnpy,31522041,10,49,50,2016-7-29,2017-10-18,444
Quick/Nimble,21301381,26,41,34,2014-11-26,2017-9-27,1036
andreamazz/AMScrollingNavbar,14238862,19,68,36,2014-4-20,2017-9-15,1240
docker/compose,15045751,69,19,13,2014-3-3,2017-10-18,1320
selectize/selectize.js,5604798,17,72,39,2013-8-9,2016-10-12,1158
magicalpanda/MagicalRecord,801795,8,94,66,2014-4-8,2016-1-29,661
joeldev/JLRoutes,8129518,15,80,50,2014-3-9,2017-4-13,1129
scriptcs/scriptcs,8473240,15,66,19,2014-7-31,2017-2-22,936
FriendsOfPHP/Goutte,622166,1,None,None,2015-6-25,2015-6-25,0
apache/incubator-airflow,33884891,6,45,49,2015-8-18,2016-3-28,225
avajs/ava,26820798,23,32,22,2015-11-7,2017-10-24,717
soffes/sstoolkit,849558,1,None,None,2013-7-4,2013-7-4,0
square/leakcanary,34824499,7,90,103,2016-3-24,2017-9-22,543
zulip/zulip,43160685,4,88,120,2017-2-1,2017-10-25,264
socketio/socket.io,557980,11,38,18,2016-10-6,2017-10-22,381
ShareX/ShareX,13428264,46,30,30,2013-11-14,2017-8-14,1370
sivel/speedtest-cli,5754504,13,126,75,2013-8-20,2017-10-17,1517
thoughtbot/Argo,24349480,19,39,27,2015-2-16,2017-1-24,708
developit/preact,42283287,45,16,9,2015-11-14,2017-10-24,710
facebook/osquery,22394357,65,17,14,2014-10-16,2017-10-24,1103
Tencent/xLua,75811015,8,37,40,2017-1-3,2017-9-25,262
curl/curl,569041,23,38,48,2015-6-29,2017-10-23,844
10se1ucgo/DisableWinTracking,40093782,11,63,15,2015-8-2,2017-4-29,637
alibaba/AliSQL,64289545,6,54,57,2016-10-25,2017-7-24,274
mbleigh/acts-as-taggable-on,4828,6,220,91,2014-5-16,2017-5-21,1100
github/linguist,1725199,63,22,16,2013-12-15,2017-10-15,1400
google/leveldb,23405758,3,451,696,2014-9-15,2017-3-2,902
sbt/sbt,279553,21,62,32,2014-5-27,2017-10-27,1245
neo4j/neo4j,6650539,33,46,25,2013-9-1,2017-9-15,1474
remy/nodemon,958314,13,32,23,2015-9-12,2016-10-6,389
evil-icons/evil-icons,25975629,13,60,31,2014-11-27,2016-11-18,721
google/physical-web,24650339,16,45,19,2014-10-20,2016-9-1,681
XLabs/Xamarin-Forms-Labs,20463939,11,86,27,2014-7-2,2016-11-15,863
linkedin/LayoutKit,61237995,11,47,53,2016-6-23,2017-10-11,473
opencv/opencv,5108051,14,120,118,2013-7-4,2017-10-25,1571
google/cadvisor,20653934,35,34,25,2014-8-13,2017-10-23,1165
jessesquires/JSQMessagesViewController,8257106,21,61,32,2014-2-23,2017-7-17,1239
kubernetes/kops,62091339,22,18,15,2016-9-8,2017-10-9,396
MightyPirates/OpenComputers,14930360,81,17,9,2013-12-14,2017-10-14,1400
tweepy/tweepy,244025,7,142,191,2013-7-14,2015-11-20,856
ppy/osu,22456440,42,6,5,2017-2-12,2017-10-24,252
rethinkdb/rethinkdb,6452529,57,26,19,2013-7-2,2017-7-23,1481
twitter/scalding,3146558,16,99,74,2013-9-3,2017-9-30,1487
benoitc/gunicorn,390510,15,97,44,2013-7-3,2017-3-21,1358
Netflix/Hystrix,6766558,63,23,13,2013-8-3,2017-7-13,1440
AutoFixture/AutoFixture,4475900,21,35,18,2015-11-7,2017-10-18,711
cisco/openh264,13909573,8,159,205,2014-5-23,2017-6-16,1118
aspnet/EntityFrameworkCore,16157746,23,51,42,2014-7-8,2017-8-14,1131
MarlinFirmware/Marlin,2200856,18,59,37,2014-12-28,2017-10-10,1017
ButchersBoy/MaterialDesignInXamlToolkit,30474266,15,50,38,2015-9-29,2017-9-3,704
Hammerspoon/hammerspoon,24956772,45,24,10,2014-10-16,2017-10-16,1095
fancymax/12306ForMac,50915433,8,46,30,2016-6-15,2017-5-4,324
ashleymills/Reachability.swift,24293205,9,27,11,2015-5-2,2015-12-11,219
python-pillow/Pillow,5171600,12,66,78,2015-10-6,2017-10-9,733
mgp25/Instagram-API,46277353,15,47,37,2015-11-26,2017-9-17,661
wagerfield/parallax,11820425,6,262,76,2014-2-4,2017-9-10,1311
dennisweissmann/DeviceKit,31160078,14,51,30,2015-11-18,2017-9-21,673
EventStore/EventStore,5844474,39,40,23,2013-7-19,2017-9-28,1529
radare/radare2,4869294,22,68,42,2013-11-11,2017-10-10,1429
mstarke/MacPass,5129986,11,156,7,2013-7-3,2017-10-19,1566
vulcand/vulcand,18165661,6,20,5,2014-12-25,2015-4-1,101
thoughtbot/suspenders,666566,16,78,35,2014-6-12,2017-9-8,1181
twitter/finagle,1007362,17,68,46,2014-10-30,2017-10-27,1092
mysociety/fixmystreet,487492,27,56,40,2013-9-13,2017-9-15,1462
realm/SwiftLint,35732214,37,24,20,2015-5-18,2017-10-10,872
ratchetphp/Ratchet,4046328,8,204,226,2013-10-14,2017-9-14,1430
ethereum/go-ethereum,15452919,64,18,12,2014-7-22,2017-10-14,1177
eBay/NMessenger,65587921,6,44,14,2016-8-16,2017-3-22,221
frankiesardo/icepick,11390894,13,59,26,2013-8-13,2015-7-23,710
so-fancy/diff-so-fancy,51071818,9,63,25,2016-2-29,2017-7-19,505
opencart/opencart,2141186,14,60,25,2015-5-27,2017-7-17,780
CocoaLumberjack/CocoaLumberjack,1549138,25,59,41,2013-11-11,2017-10-3,1422
zealdocs/zeal,7711472,9,129,149,2014-11-4,2017-9-2,1033
square/sqlbrite,31001422,6,37,27,2015-8-31,2016-3-1,185
tidyverse/ggplot2,19438,6,143,81,2015-1-9,2016-12-30,716
CosmicMind/Material,41215439,95,8,5,2015-8-26,2017-10-28,792
google/protobuf,23357588,19,61,53,2014-8-28,2017-9-15,1112
paularmstrong/normalizr,23141830,17,56,40,2014-8-20,2017-2-9,904
tgalal/yowsup,6523023,13,69,35,2014-12-15,2017-3-23,833
hrydgard/ppsspp,6486826,9,117,148,2014-2-15,2016-9-17,942
phalcon/zephir,11478636,30,44,32,2014-3-25,2017-10-21,1301
kardianos/govendor,33822149,9,22,16,2016-3-23,2016-9-22,179
zeit/hyper,62367558,16,23,10,2016-10-6,2017-9-24,353
mesos/chronos,8189762,11,129,53,2013-12-17,2017-6-28,1291
ZipArchive/ZipArchive,849692,21,74,27,2013-9-7,2017-10-9,1492
cefsharp/CefSharp,1135454,47,29,21,2013-8-14,2017-4-18,1344
v2ray/v2ray-core,41912791,91,8,7,2015-9-18,2017-10-26,768
phpstan/phpstan,49014795,17,25,11,2016-7-17,2017-9-6,414
robbiehanson/CocoaAsyncSocket,2826918,9,154,139,2013-12-27,2017-5-11,1234
nylas/nylas-mail,25315643,39,12,10,2016-1-6,2017-4-27,476
ArtSabintsev/Siren,28757562,36,20,16,2015-11-10,2017-10-19,709
steipete/Aspects,19407872,1,None,None,2014-5-5,2014-5-5,0
vinc3m1/RoundedImageView,8347864,5,126,56,2015-7-13,2016-12-4,506
eliangcs/http-prompt,55584626,11,40,36,2016-9-16,2017-10-24,403
webpack/webpack,3678731,31,13,9,2016-9-19,2017-10-17,393
bobthecow/psysh,4549925,36,37,17,2014-3-9,2017-10-19,1315
noodlewerk/NWPusher,5741345,13,97,87,2014-2-9,2017-4-25,1171
jenssegers/laravel-mongodb,9131292,62,24,9,2013-8-18,2017-9-18,1490
amplab/shark,4023789,6,92,85,2013-7-22,2014-10-30,463
tsuru/tsuru,3631697,40,30,15,2014-8-6,2017-10-23,1172
symless/synergy-core,25135037,17,52,46,2014-12-3,2017-3-23,845
matplotlib/matplotlib,1385122,18,66,52,2014-8-26,2017-10-7,1136
atom/atom,3228505,180,7,6,2013-12-3,2017-10-12,1409
radiant-player/radiant-player-mac,16445562,31,34,16,2014-2-20,2016-12-19,1029
duckduckgo/zeroclickinfo-goodies,2164979,120,10,8,2014-6-3,2017-9-20,1202
coreos/etcd,11225014,91,16,12,2013-8-11,2017-10-6,1515
lecho/hellocharts-android,25114751,12,31,26,2014-10-12,2015-9-27,350
Zizaco/entrust,8067805,11,110,109,2013-10-26,2016-11-4,1103
apex/apex,48301282,20,35,28,2015-12-19,2017-10-14,665
coreos/flannel,21704134,20,52,33,2014-12-23,2017-9-22,1004
Microsoft/CNTK,46918116,27,22,18,2016-1-26,2017-9-16,595
mozilla/mozjpeg,15837676,8,164,107,2014-3-5,2017-5-1,1151
dogo/SCLAlertView,24516405,39,24,11,2014-9-29,2017-4-11,927
mortenjust/androidtool-mac,34713704,8,64,12,2015-4-28,2016-7-27,454
JetBrains/kotlin,3432266,63,24,14,2013-8-14,2017-10-26,1532
parse-community/parse-server,50603846,30,18,13,2016-5-9,2017-10-25,531
andersao/l5-repository,30713379,19,47,33,2015-6-29,2017-10-26,847
jagregory/fluent-nhibernate,126652,3,196,289,2014-9-8,2015-10-5,392
minio/minio,29261473,25,26,26,2016-2-8,2017-10-27,624
aio-libs/aiohttp,13258039,57,19,13,2014-10-16,2017-10-18,1097
tensorflow/magenta,58157629,16,21,13,2016-10-7,2017-8-25,323
bcicen/ctop,77419377,6,25,6,2017-3-7,2017-7-12,125
BVLC/caffe,12791642,10,124,61,2014-3-19,2017-4-18,1124
google/guava,20300177,10,42,21,2016-10-7,2017-10-26,384
reactjs/React.NET,17811771,12,77,42,2015-2-26,2017-7-2,856
ncw/rclone,17803236,13,56,60,2015-11-23,2017-9-30,677
mxcl/PromiseKit,18440563,19,65,16,2014-5-15,2017-8-17,1187
layervault/psd.rb,9927626,16,56,16,2013-7-27,2015-11-22,845
jemalloc/jemalloc,13310527,17,50,28,2015-4-15,2017-7-2,807
ipython/ipython,658518,11,151,87,2013-8-9,2017-9-29,1510
tarantool/tarantool,911980,9,105,95,2015-4-26,2017-8-22,846
mikepenz/MaterialDrawer,30120110,88,10,6,2015-2-9,2017-7-29,900
matthewpalmer/Locksmith,24284165,9,55,62,2014-11-28,2016-2-14,446
CocoaPods/CocoaPods,2203645,55,29,16,2013-7-3,2017-10-24,1571
ecomfe/echarts,9185792,35,26,14,2015-3-23,2017-9-27,914
CachetHQ/Cachet,26730195,34,23,9,2015-5-10,2017-6-28,778
h5bp/html5-boilerplate,486550,8,208,220,2013-9-10,2017-9-11,1461
Dogfalo/materialize,23974149,26,41,28,2014-11-4,2017-8-26,1027
swisspol/GCDWebServer,7369087,22,58,36,2014-4-17,2017-8-21,1219
capistrano/capistrano,138312,14,40,41,2016-5-17,2017-10-23,521
github/hub,401025,21,64,54,2013-12-22,2017-6-26,1284
overtrue/wechat,29843361,40,24,12,2015-3-13,2017-10-27,954
laravel/laravel,1863329,3,56,67,2017-5-14,2017-9-6,112
ReactiveCocoa/ReactiveCocoa,3606624,52,29,16,2013-9-14,2017-10-20,1496
nbs-system/naxsi,2233185,16,84,34,2013-9-4,2017-2-14,1260
top-think/think,8305060,14,44,33,2016-1-30,2017-9-7,582
chenshuo/muduo,648343,10,105,82,2014-3-13,2016-10-26,953
purescript/purescript,13206906,54,22,20,2014-4-27,2017-7-10,1168
pornel/pngquant,310296,12,133,93,2013-7-27,2017-8-8,1471
scala/scala,2888818,29,55,51,2013-7-16,2017-10-19,1553
consolidation/Robo,16185196,33,42,26,2014-1-28,2017-10-25,1362
ReactiveCocoa/ReactiveSwift,59369770,23,17,14,2016-9-24,2017-10-19,390
tidyverse/dplyr,6427813,16,89,61,2014-1-17,2017-9-29,1347
optonaut/ActiveLabel.swift,41873203,12,57,39,2015-12-25,2017-9-15,630
powerline/powerline,4637221,14,75,48,2014-9-5,2017-5-8,978
umano/AndroidSlidingUpPanel,10410764,8,88,64,2014-6-26,2016-3-7,621
mholt/caddy,29207621,27,34,29,2015-4-28,2017-10-9,891
quartznet/quartznet,1208824,14,119,95,2013-7-3,2017-10-8,1555
julienXX/terminal-notifier,5057307,7,226,223,2013-8-24,2017-5-12,1358
mRemoteNG/mRemoteNG,460848,17,32,22,2016-5-31,2017-10-28,512
Microsoft/react-native-code-push,36749153,49,14,12,2015-11-8,2017-10-3,695
ponylang/ponyc,6667084,29,14,8,2016-8-28,2017-10-17,414
lucadegasperi/oauth2-server-laravel,13300645,27,48,27,2013-10-9,2017-3-13,1254
ChrisRM/material-theme-jetbrains,42984727,12,17,12,2017-3-21,2017-10-1,190
mwaskom/seaborn,4704710,12,122,71,2013-12-23,2017-9-3,1350
hakimel/reveal.js,1861458,12,127,126,2013-7-2,2017-5-5,1403
github/fetch,25136308,10,71,67,2015-5-30,2017-3-2,642
autofac/Autofac,16139210,9,45,44,2016-10-18,2017-10-16,363
MailOnline/ImageViewer,47424925,13,55,41,2015-12-11,2017-10-2,661
zenorocha/clipboard.js,42751014,17,38,24,2015-9-28,2017-5-29,611
SwiftGen/SwiftGen,39166950,17,38,34,2016-2-19,2017-10-22,608
aria2/aria2,1116542,18,44,30,2015-9-27,2017-10-17,750
twitter/scrooge,2249288,16,39,41,2016-3-8,2017-10-27,594
gitbucket/gitbucket,9350746,60,26,28,2013-7-3,2017-10-13,1560
GarageGames/Torque3D,5862644,14,66,44,2014-10-3,2017-2-8,860
php-ai/php-ml,51325497,8,34,19,2016-7-7,2017-3-5,243
kelseyhightower/confd,13234395,28,54,22,2013-10-6,2017-10-10,1464
kubernetes/kubernetes,20580498,134,8,6,2014-10-15,2017-10-24,1104
OpenRA/OpenRA,959908,47,29,15,2014-2-7,2017-10-14,1342
JeffreySu/WeiXinMPSDK,7560589,21,28,20,2016-2-21,2017-9-20,574
realm/realm-cocoa,4044891,68,13,10,2015-5-6,2017-10-25,899
mamaral/Neon,42832234,8,49,27,2015-10-6,2016-9-19,348
serverless/serverless,34302698,39,17,13,2015-12-8,2017-9-21,653
Microsoft/msbuild,32051890,22,32,29,2015-12-1,2017-10-12,681
restsharp/RestSharp,374228,11,71,34,2013-9-12,2015-8-26,714
bolt/bolt,4665416,95,14,9,2014-2-22,2017-10-18,1331
krakjoe/pthreads,5589723,11,15,7,2015-9-10,2016-2-13,158
antitypical/Result,31188467,31,29,13,2015-4-9,2017-9-27,898
google/brotli,24993138,7,128,158,2015-8-11,2017-9-21,770
datastax/spark-cassandra-connector,21280887,51,21,16,2014-7-29,2017-7-8,1074
enyo/dropzone,3422939,16,63,27,2013-7-3,2016-2-14,956
coreos/fleet,13512328,33,32,14,2014-2-18,2016-12-22,1034
henrylee2cn/pholcus,38499784,21,22,12,2015-7-3,2016-9-25,447
botman/botman,65017574,27,13,6,2016-11-10,2017-10-18,343
expressjs/express,237159,55,23,8,2014-5-8,2017-10-19,1256
Skyscanner/SkyFloatingLabelTextField,48360584,13,42,28,2016-2-14,2017-7-4,505
facebook/rebound,13486910,8,69,36,2014-1-30,2015-6-4,489
vim-syntastic/syntastic,248523,3,319,381,2015-1-19,2016-10-22,638
charliesome/better_errors,7066560,10,166,69,2013-8-31,2017-10-13,1502
go-vgo/robotgo,69269563,7,46,43,2016-11-23,2017-8-24,276
alikaragoz/MCSwipeTableViewCell,8523763,6,111,16,2014-1-5,2015-7-18,558
mutualmobile/MMDrawerController,9914221,10,71,39,2013-7-3,2015-4-2,639
mutualmobile/MMWormhole,27653666,6,179,109,2014-12-8,2017-5-22,899
thestonefox/VRTK,56940351,8,51,37,2016-7-11,2017-7-6,360
AngleSharp/AngleSharp,10501638,6,86,27,2015-7-30,2016-10-7,432
ServiceStack/ServiceStack,1339922,37,40,33,2013-9-12,2017-9-6,1454
stig/json-framework,721040,7,183,29,2013-11-9,2016-11-15,1101
goktugyil/EZSwiftExtensions,46181416,20,24,14,2015-11-14,2017-2-25,471
spree/spree,3314,41,38,23,2013-8-5,2017-10-20,1535
revel/revel,2945088,12,126,76,2013-9-16,2017-7-12,1396
explosion/spaCy,21467110,15,19,12,2016-10-19,2017-7-22,278
pytorch/pytorch,65600975,11,36,21,2016-9-1,2017-8-28,362
emilsjolander/StickyListHeaders,3688678,15,44,36,2013-9-15,2015-5-21,616
