id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
8263291,2017-10-25T21:16:29Z,2017-10-25T22:49:47Z,,"Arch | Platform | Package | SHA256
",https://api.github.com/users/danielnelson,1048079,danielnelson,https://api.github.com/repos/influxdata/telegraf/releases/8263291/assets,https://api.github.com/repos/influxdata/telegraf/releases/8263291,master,https://api.github.com/repos/influxdata/telegraf/tarball/1.4.3,https://github.com/influxdata/telegraf/releases/tag/1.4.3,https://api.github.com/repos/influxdata/telegraf/zipball/1.4.3,1.4.3,False,False
8069922,2017-10-10T20:31:31Z,2017-10-10T21:37:48Z,,"Arch | Platform | Package | SHA256
---| --- | --- | ---
amd64 | Debian | [`telegraf_1.4.2-1_amd64.deb`](https://dl.influxdata.com/telegraf/releases/telegraf_1.4.2-1_amd64.deb) | `90f1033fb5e648f57860fbc6a6a075b8c3bc89e7adf76d39b1fb759701c49419`
amd64 | Centos | [`telegraf-1.4.2-1.x86_64.rpm`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.2-1.x86_64.rpm) | `b7e7155d55dbf0a17a55a87093f1e7c77d1136ee9a68268fbc6756d1952e0807`
amd64 | Windows | [`telegraf-1.4.2_windows_amd64.zip`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.2_windows_amd64.zip) | `9d8f7680618d8dafdefbc8171d3150da4469221007a0592830c60a2610693257`
amd64 | FreeBSD | [`telegraf-1.4.2_freebsd_amd64.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.2_freebsd_amd64.tar.gz) | `0230cf1cb69b175536f4e88a5a195c14a0aaf23947225feca6bfb5596f8a6e73`
amd64 | Linux | [`telegraf-1.4.2-static_linux_amd64.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.2-static_linux_amd64.tar.gz) | `44bf7332f78f987e21201b6eb6f21cfc26f6eafb4b383c4cb197abd1279bf39c`
amd64 | Linux | [`telegraf-1.4.2_linux_amd64.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.2_linux_amd64.tar.gz) | `d44aee923bc2a5fbb05d21e817dfe9029083f9f163e489ea29dbe0956c443cb5`
i386 | Debian | [`telegraf_1.4.2-1_i386.deb`](https://dl.influxdata.com/telegraf/releases/telegraf_1.4.2-1_i386.deb) | `ff34e280fbd22d4eebec5a471a1e0fae929b0548dd74c09ff02cc00c67723413`
i386 | Centos | [`telegraf-1.4.2-1.i386.rpm`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.2-1.i386.rpm) | `ae7724ee500136856e415a6e4d218979f34cce65bc6e1e145f470a34978f9aa0`
